title,price,original_price,sale_discount,product_url,image_url,stone_type,metal_type
Pre-Owned 14K White Gold Diamond Earrings,735.00,"4,850.00",84.8,https://www.jomashop.com/pre-owned-14k-white-gold-diamond-earrings-60940.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/p/r/preowned-14k-white-gold-diamond-earrings-60940_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 1.00 ct Diamond Hoop Earrings,"1,249.99","8,250.00",84.8,https://www.jomashop.com/lb-exclusive-14k-white-gold-1-00-ct-diamond-hoop-earrings-aer-12696w-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-100-ct-diamond-hoop-earrings-aer12696ww_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Yellow Gold 1.00 ct Diamond Hoop Earrings,"1,249.99","8,250.00",84.8,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-1-00-ct-diamond-hoop-earrings-aer-12696y-y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-100-ct-diamond-hoop-earrings-aer12696yy_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 0.50 ct Diamond Pave Hoop Earrings,789.99,"5,150.00",84.7,https://www.jomashop.com/lb-exclusive-14k-white-gold-0-50-ct-diamond-pave-hoop-earrings-aer-12655w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-050-ct-diamond-pave-hoop-earrings-aer12655w_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Yellow Gold 0.50 ct Diamond Pave Hoop Earrings,789.99,"5,150.00",84.7,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-0-50-ct-diamond-pave-hoop-earrings-aer-12655y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-050-ct-diamond-pave-hoop-earrings-aer12655y_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 0.25ct Diamond Inside Out Hoop Earrings,434.99,"2,850.00",84.7,https://www.jomashop.com/lb-exclusive-14k-white-gold-0-25ct-diamond-inside-out-hoop-earrings-aer-11677-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-025ct-diamond-inside-out-hoop-earrings-aer11677w_2.jpg?width=350&height=350,['Diamond'],['Gold']
.65ct 14K White Gold Diamond Pave Round Hoop Earrings,879.99,"5,700.00",84.6,https://www.jomashop.com/lb-exclusive-65ct-14k-white-gold-diamond-pave-round-hoop-earrings-aer-10191w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-65ct-14k-white-gold-diamond-pave-round-hoop-earrings-aer10191w_2.jpg?width=350&height=350,['Diamond'],['Gold']
3 CT DEW Created Moissanite Floral Stud Earrings In Sterling Silver,74.99,485.00,84.5,https://www.jomashop.com/amour-sterling-silver-3-ct-dew-created-moissanite-floral-stud-earrings-jms009252.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/a/m/amour-sterling-silver-3-ct-dew-created-moissanite-floral-stud-earrings-jms009252_2.jpg?width=350&height=350,['Moissanite'],['Silver']
14K White Gold Oval Channel Set Diamond Hoop Huggies Earrings .33 Carat  0.33 ctw  Diamonds,509.99,"3,275.00",84.4,https://www.jomashop.com/lb-exclusive-14k-white-gold-oval-channel-set-diamond-hoop-huggies-earrings-33-carat-0-33-ctw-diamonds-aer-14271w-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-oval-channel-set-diamond-hoop-huggies-earrings-33-carat-033-ctw-diamonds-aer14271ww_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Yellow Gold 0.33 ct Diamond Small Oval Hoop Earrings,509.99,"3,275.00",84.4,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-0-33-ct-diamond-small-oval-hoop-earrings-aer-14271y-y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-033-ct-diamond-small-oval-hoop-earrings-aer14271yy_2.jpg?width=350&height=350,['Diamond'],['Gold']
